Dell Fostro 3510 15.6in FHD Core i7-1165G7 16GB RAM + Hard 1TB + 512GB SSD

EGP31,950.00

Brand	Dell
Screen size	15.6 Inches
Hard disk size	1 TB
CPU model	Core i7-10510U
Operating System	Windows 10 Pro
CPU speed	2.8 Hz
Item weight	1.7 Kilograms
Total USB ports	1
Processor count	4
CPU manufacturer	Intel
